Constituent_ID,Age,Gender,Income,Assigned_Solicitors_Date,Assigned_Fundraiser,Assigned_Solicitors_Date_1,Assigned_Fundraiser_1,Sign_Up_Amount,Frequency,Sign_Up_Date,Current_Status,Status.Indicator,Fund,First_Gift_Date,First_Gift_Amount,Last_Gift_Date,Last_Gift_Amount,Saved,Saved_Date,Upgrade,Upgrade_Response,Upgrade2,Upgrade_Date,Upgrade_Response_1,Upgrade_1,Upgrade_Date_1,Cancellation,Cancellation Date,Cancellation_1,Cancellation Date_1,Total_Number_Of_Gifts,Total_Gift_Amount,DDD,DD_Dishonored,Dishonored_Date,CCC,Ccard_chargeback,Chargeback_Date,Times,Sign Up times,Sign Up times_1,Sign Up times_2,Sign Up times_3,Sign Up times_4,DDDown,IF DD Downgrade,IF DD Downgrade_1
108859,68,Female,45000,23/10/2015,Telefundraiser,10/07/2015,Canvasser,35,MONTHLY GIVING,7/07/2015,Active,1,AQ-DDC2015; RN-AUTO2015,29/07/2015,25,9/05/2016,35,0,,1,TM-Yes,UTM1509,23/10/2015,,,,,,,,61,1145,0,,,0,,,2,25/10/1997,7/07/2015,,,,0,,
121705,84,Female,0,24/06/2015,Canvasser,,,25,MONTHLY GIVING,7/06/2015,Terminated,0,AQ-DDC2015,24/06/2015,25,7/07/2015,25,0,,0,,,,,,,Cancel Recurring Donation,27/07/2015,Cancel Recurring Donation,27/07/2015,2,50,0,,,0,,,1,7/06/2015,,,,,0,,
123157,59,Male,0,16/07/2015,Telefundraiser,1/09/2014,Telefundraiser,30,MONTHLY GIVING,7/07/2015,Terminated,0,AQ-PHONE2015,8/06/2015,30,9/05/2016,30,0,,0,TM-Not Interested Financial,UTM1507,17/08/2015,,,,,,,,198,2745,0,,,0,,,2,30/11/2000,7/07/2015,,,,0,,
16717,83,Female,75000,27/07/2015,Canvasser,,,25,MONTHLY GIVING,7/07/2015,Held,1,AQ-DDC2015,,0,,0,0,,0,,,,,,,,,,,0,0,0,,,1,Ccard chargeback,29/07/2015,1,7/07/2015,,,,,0,,
17349,0,Female,80700,8/07/2015,Telefundraiser,,,50,MONTHLY GIVING,7/07/2015,Active,1,RN-AUTO2015L,22/07/2015,50,9/05/2016,50,0,,0,,,,,,,,,,,22,950,0,,,0,,,2,20/02/1996,7/07/2015,,,,0,,
28989,0,Female,51700,10/06/2015,Telefundraiser,,,26,MONTHLY GIVING,7/06/2015,Active,1,RN-AUTO2015L,10/06/2015,26,9/05/2016,26,0,,0,TM-Not Interested Financial,UTM1510,25/11/2015,,,,,,,,24,617,0,,,0,,,2,27/01/1999,7/06/2015,,,,0,,
34795,87,Male,100000,12/07/2015,Frontliner,3/12/2003,Telefundraiser,30,MONTHLY GIVING,7/07/2015,Active,1,AQ-DDC2015,12/07/2015,30,9/05/2016,30,0,,0,,,,,,,,,,,17,510,0,,,0,,,1,7/07/2015,,,,,0,,
40852,58,Female,90000,20/07/2015,Telefundraiser,,,26,MONTHLY GIVING,7/07/2015,Held,1,AQ-PHONE2015,20/07/2015,26,9/05/2016,26,0,,0,,,,,,,,,,,15,390,0,,,0,,,1,7/07/2015,,,,,0,,
417148,0,Male,39200,,WEB,,,32,MONTHLY GIVING,7/02/2016,Active,1,MISCINC2016; RN-AUTO2016,7/03/2016,20,9/05/2016,20,0,,0,,,,,,,,,,,12,408,0,,,0,,,2,20/03/1999,7/02/2016,,,,0,,
424654,0,Female,85000,13/07/2015,Telefundraiser,,,26,MONTHLY GIVING,7/07/2015,Terminated,0,AQ-PHONE2015,13/07/2015,26,7/10/2015,26,0,,0,,,,,,,Cancel Recurring Donation,12/10/2015,,,8,244,0,,,0,,,2,25/06/1996,7/07/2015,,,,0,,
